10,1.833500e-07,1.311135e-05,4.773568e-05
20,2.198700e-07,1.293312e-05,4.908672e-05
40,2.577001e-07,1.275327e-05,4.882207e-05
80,4.286299e-07,1.256959e-05,4.857376e-05
160,7.710501e-07,1.237599e-05,4.748064e-05
320,1.130360e-06,1.269279e-05,4.979712e-05
640,1.923540e-06,1.382432e-05,9.611744e-05
1280,3.505430e-06,2.502209e-05,1.192090e-04
2560,6.538500e-06,1.264831e-05,5.656096e-05
5120,1.335212e-05,1.266880e-05,6.392993e-05
10240,2.536035e-05,1.358463e-05,8.058400e-05
20480,4.998277e-05,1.905440e-05,1.168112e-04
40960,9.936477e-05,2.010464e-05,1.870221e-04
81920,1.981777e-04,2.780544e-05,3.171450e-04
163840,3.937135e-04,5.678337e-05,5.780468e-04
327680,7.860519e-04,1.071862e-04,1.017299e-03
655360,1.578570e-03,2.203514e-04,1.936711e-03
1310720,3.286361e-03,4.607075e-04,3.847205e-03
2621440,6.435254e-03,9.257733e-04,7.433821e-03
5242880,1.625020e-02,1.637655e-03,1.436822e-02
