12,1.310000e-07,1.300000e-07,1.331200e-05,1.536000e-05
24,1.810000e-07,1.800000e-07,1.331200e-05,1.536000e-05
48,2.410000e-07,2.910000e-07,1.331200e-05,1.532800e-05
96,3.610000e-07,5.010000e-07,1.334400e-05,1.536000e-05
192,5.920000e-07,9.210000e-07,1.331200e-05,1.532800e-05
384,1.082000e-06,1.803000e-06,1.334400e-05,1.536000e-05
768,2.034000e-06,3.817000e-06,1.427200e-05,1.536000e-05
1536,3.928000e-06,8.105000e-06,1.334400e-05,1.536000e-05
3072,7.715000e-06,1.802400e-05,1.427200e-05,1.635200e-05
6144,1.522900e-05,4.042700e-05,1.436800e-05,1.846400e-05
12288,3.038800e-05,8.911800e-05,1.740800e-05,2.460800e-05
24576,6.052500e-05,1.906100e-04,2.555840e-04,3.804800e-05
49152,1.206780e-04,3.973000e-04,2.583680e-04,5.536000e-05
98304,1.906300e-04,6.488350e-04,4.249600e-05,9.366400e-05
196608,3.814400e-04,1.331164e-03,3.180800e-04,4.097920e-04
393216,7.670890e-04,2.688265e-03,3.893760e-04,5.774400e-04
786432,1.536140e-03,5.471300e-03,5.435840e-04,9.059201e-04
